(23, 33) (1, 1) (10, 25) 
(23, 33) (1, 1) (10, 26) 
(23, 33) (1, 1) (10, 30) 
(23, 33) (1, 1) (8, 21) 
(23, 33) (1, 1) (8, 22) 
(23, 33) (1, 1) (8, 23) 
(23, 33) (1, 1) (8, 25) 
(23, 33) (1, 1) (8, 26) 
(23, 33) (1, 1) (8, 30) 
(23, 33) (1, 1) (6, 21) 
(23, 33) (1, 1) (6, 22) 
(23, 33) (1, 1) (6, 23) 
(23, 33) (1, 1) (6, 25) 
(23, 33) (1, 1) (6, 26) 
(23, 33) (1, 1) (6, 30) 
(23, 33) (0, 1) (19, 23) 
(23, 33) (0, 1) (19, 25) 
(23, 33) (0, 1) (19, 26) 
(23, 33) (0, 1) (19, 30) 
(23, 33) (0, 1) (18, 23) 
(23, 33) (0, 1) (18, 25) 
(23, 33) (0, 1) (18, 26) 
(23, 33) (0, 1) (18, 30) 
(23, 33) (0, 1) (17, 22) 
(23, 33) (0, 1) (17, 23) 
(23, 33) (0, 1) (17, 25) 
(23, 33) (0, 1) (17, 26) 
(23, 33) (0, 1) (17, 30) 
(23, 33) (0, 1) (16, 21) 
